iter	Passed	Remaining
798	1617	407
799	1619	404
800	1621	402
801	1623	400
802	1625	398
803	1627	396
804	1629	394
805	1630	392
806	1632	390
807	1633	388
808	1635	386
809	1637	384
810	1639	382
811	1641	379
812	1642	377
813	1644	375
814	1646	373
815	1647	371
816	1649	369
817	1651	367
818	1652	365
819	1653	363
820	1655	360
821	1656	358
822	1658	356
823	1659	354
824	1661	352
825	1662	350
826	1663	348
827	1665	345
828	1666	343
829	1668	341
830	1669	339
831	1671	337
832	1672	335
833	1673	333
834	1675	331
835	1676	328
836	1678	326
837	1680	324
838	1681	322
839	1683	320
840	1684	318
841	1686	316
842	1687	314
843	1689	312
844	1691	310
845	1692	308
846	1694	306
847	1696	304
848	1697	301
849	1699	299
850	1700	297
851	1702	295
852	1703	293
853	1705	291
854	1706	289
855	1707	287
856	1709	285
857	1710	283
858	1711	280
859	1713	278
860	1714	276
861	1715	274
862	1716	272
863	1718	270
864	1719	268
865	1720	266
866	1721	264
867	1723	262
868	1724	260
869	1727	258
870	1728	256
871	1730	253
872	1731	251
873	1733	249
874	1734	247
875	1736	245
876	1737	243
877	1738	241
878	1740	239
879	1741	237
880	1743	235
881	1744	233
882	1746	231
883	1747	229
884	1750	227
885	1751	225
886	1752	223
887	1754	221
888	1755	219
889	1756	217
890	1757	215
891	1759	212
892	1760	210
893	1762	208
894	1763	206
895	1765	204
896	1766	202
897	1767	200
898	1768	198
899	1769	196
900	1771	194
901	1772	192
902	1774	190
903	1775	188
904	1777	186
905	1779	184
906	1780	182
907	1781	180
908	1783	178
909	1784	176
910	1786	174
911	1787	172
912	1789	170
913	1790	168
914	1791	166
915	1792	164
916	1794	162
917	1795	160
918	1796	158
919	1798	156
920	1799	154
921	1800	152
922	1801	150
923	1803	148
924	1804	146
925	1805	144
926	1807	142
927	1808	140
928	1810	138
929	1811	136
930	1812	134
931	1814	132
932	1815	130
933	1816	128
934	1818	126
935	1819	124
936	1821	122
937	1822	120
938	1824	118
939	1825	116
940	1826	114
941	1828	112
942	1829	110
943	1830	108
944	1832	106
945	1833	104
946	1834	102
947	1836	100
948	1838	98
949	1839	96
950	1840	94
951	1842	92
952	1843	90
953	1844	88
954	1846	86
955	1847	85
956	1849	83
957	1850	81
958	1852	79
959	1853	77
960	1855	75
961	1856	73
962	1857	71
963	1858	69
964	1860	67
965	1861	65
966	1863	63
967	1865	61
968	1866	59
969	1868	57
970	1869	55
971	1870	53
972	1872	51
973	1873	50
974	1875	48
975	1876	46
976	1877	44
977	1879	42
978	1880	40
979	1882	38
980	1883	36
981	1885	34
982	1886	32
983	1888	30
984	1889	28
985	1891	26
986	1893	24
987	1894	23
988	1896	21
989	1897	19
990	1899	17
991	1900	15
992	1902	13
993	1903	11
994	1904	9
995	1906	7
996	1908	5
997	1910	3
998	1912	1
999	1913	0
